0,Spain,Madrid
1,Chile,Santiago
2,Australia,Camberra
3,Bolivia,Sucre
4,Ecuador,Quito
5,Peru,Lima
6,Venezuela,Caracas
7,Colombia,Bogota
8,Paraguay,Asuncion
9,Brasil,Brasilia
10,Uruguay,Montevideo
11,Honduras,Tegucigalpa
12,Jamaica,Kingston
13,Guatemala,Managua
14,Cuba,La Habana
15,Argentina,Buenos Aires
16,Costa Rica,San Jose
17,France,Paris
18,Portugal,Lisboa
19,Germany,Berlin

